C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 12 ELECTRICAL PLAN.dwg,Model,7/7/2008 10:20:54 PM,Sean Stevens, Architectural Enterprises, Ltd,\\dennis-laptop\HP LaserJet 1200 Series PCL 5,Letter,0.25:12,
C:\WORKING FOLDER\210 RALSTON\MISC\210 RALSTON SH 09 SOUTH ELEV PLAN PERMIT.dwg,South Elevation,9/13/2008 2:25:39 PM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\MISC\210 RALSTON SH 09 SOUTH ELEV PLAN PERMIT.dwg,South Elevation,9/13/2008 2:36:32 PM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 10 EASTWEST ELEV PLAN.dwg,EastWest Elevation,9/13/2008 3:43:37 PM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 10 EASTWEST ELEV PLAN.dwg,EastWest Elevation,9/13/2008 3:51:23 PM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 05 SECTIONS PLAN.dwg,Sections,9/13/2008 4:05:46 PM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON FOUNDATION LAYOUT EASTWEST.dwg,Foundation Layout,10/21/2008 10:35:12 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON BEAM LAYOUT.dwg,Shower Detail,10/30/2008 9:25:13 AM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 05 SECTIONS PLAN.dwg,Sections,11/10/2008 2:52:55 PM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 05 SECTIONS PLAN.dwg,Sections,11/12/2008 9:51:12 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 02 FOUNDATION PLAN.dwg,Foundation Plan,11/12/2008 9:57:01 AM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 09 SOUTH ELEV PLAN.dwg,South Elevation,11/13/2008 5:02:06 PM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 04 FLOOR PLAN.dwg,8.5x11,11/14/2008 10:13:59 AM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON LAYOUT GRID.dwg,8.5x11,11/14/2008 11:35:23 AM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\WORKING\210 RALSTON SH 04 FLOOR PLAN.dwg,8.5x11,11/14/2008 12:06:11 PM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON FOUNDATION LAYOUT.dwg,Foundation Layout,11/17/2008 2:40:41 PM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr.pc3,Custom 1:  24  x  58 in.,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON FOUNDATION LAYOUT.dwg,8.5x11,12/9/2008 3:52:51 PM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON FOUNDATION LAYOUT.dwg,8.5x11,12/9/2008 3:54:47 PM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\210 RALSTON\CONSTRUCTION\210 RALSTON FOUNDATION LAYOUT.dwg,8.5x11,12/10/2008 9:55:56 AM,Sean Stevens, Architectural Enterprises, Ltd,HP LaserJet 1200 Series PCL 5,Letter,1:1,
C:\WORKING FOLDER\219 BAYVIEW\SH01 SITE PLAN2.dwg,ArchD,2/3/2009 12:04:06 PM,Sean Stevens, Architectural Enterprises, Ltd,HP Designjet 110plus nr,Arch D ,1:1,
